Job Title,Salary Estimate,Salary_Min,Salary_Max,Salary_Mid,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply,lat,lng,STATE
Master Data Analyst,$60K-$113K (Glassdoor est.),60000,113000,86500,4.7,"Method360
4.7","San Jose, CA","San Francisco, CA",51 to 200 employees,2000,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,"Optimal Solutions Integration, Capgemini",-1,37.3019,-121.8486,CA
Technical Business Analyst or Data Analyst,$60K-$113K (Glassdoor est.),60000,113000,86500,4.4,"Adwait Algorithm
4.4","Santa Clara, CA","Houston, TX",51 to 200 employees,2015,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,-1,37.3645,-121.968,CA
Senior Data Analyst,$60K-$113K (Glassdoor est.),60000,113000,86500,3.8,"F5 Networks
3.8","Santa Clara, CA","Seattle, WA",5001 to 10000 employees,1996,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),"Citrix, VMware, Juniper Networks",-1,37.3645,-121.968,CA
Data Analyst 4,$89K-$151K (Glassdoor est.),89000,151000,120000,3.7,"MW Partners
3.7","San Jose, CA","Santa Ana, CA",51 to 200 employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,-1,37.3019,-121.8486,CA
Data Analyst - Bilingual English and Finnish language,$89K-$151K (Glassdoor est.),89000,151000,120000,3.3,"Vaco
3.3","Palo Alto, CA","Brentwood, TN",501 to 1000 employees,2002,Company - Private,Consulting,Business Services,$500 million to $1 billion (USD),-1,-1,37.3913,-122.1468,CA
Enterprise Data Domain Lead Analyst,$89K-$151K (Glassdoor est.),89000,151000,120000,4,"Workday
4.0","Pleasanton, CA","Pleasanton, CA",10000+ employees,2005,Company - Public,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),"SAP, Oracle, Ultimate Software",-1,37.6663,-121.8805,CA
Senior Data Analyst,$89K-$151K (Glassdoor est.),89000,151000,120000,3.2,"Enjoy Technology
3.2","Palo Alto, CA","Palo Alto, CA",1001 to 5000 employees,2014,Company - Private,Consumer Electronics & Appliances Stores,Retail,Unknown / Non-Applicable,"Amazon, Best Buy, Apple",TRUE,37.3913,-122.1468,CA
Associate Data Steward & Sales Planning Analyst,$89K-$151K (Glassdoor est.),89000,151000,120000,3.5,"Russell Tobin & Associates
3.5","Mountain View, CA","New York, NY",51 to 200 employees,2010,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),-1,-1,37.4,-122.0796,CA
"Senior Market Research Analyst, Data Insights",$96K-$194K (Glassdoor est.),96000,194000,145000,4.1,"Apple
4.1","Santa Clara, CA","Cupertino, CA",10000+ employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Google, Microsoft, Samsung Electronics",-1,37.3645,-121.968,CA
Senior Data Analyst (with Business analysis experience),$96K-$194K (Glassdoor est.),96000,194000,145000,-1,Volto Consulting,"Milpitas, CA",-1,-1,-1,-1,-1,-1,-1,-1,-1,37.4339,-121.8921,CA
Sr Data Analyst,$96K-$194K (Glassdoor est.),96000,194000,145000,3.8,"eHealth
3.8","Santa Clara, CA","Santa Clara, CA",1001 to 5000 employees,1997,Company - Public,Insurance Agencies & Brokerages,Insurance,$100 to $500 million (USD),"InsWeb, Insure.com, Answer Financial",-1,37.3645,-121.968,CA
Sr. HR Data Analyst,$96K-$194K (Glassdoor est.),96000,194000,145000,3.4,"Cepheid
3.4","Sunnyvale, CA","Sunnyvale, CA",1001 to 5000 employees,1996,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$500 million to $1 billion (USD),-1,-1,37.3836,-122.0256,CA
Senior Data Analyst/Data Warehouse Consultant,$96K-$194K (Glassdoor est.),96000,194000,145000,3.9,"Ampcus Incorporated
3.9","San Jose, CA","Chantilly, VA",501 to 1000 employees,2004,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1,-1,37.3019,-121.8486,CA
Data Analyst â Junior,$96K-$194K (Glassdoor est.),96000,194000,145000,5,"Staffigo Technical Services, LLC
5.0","San Jose, CA","Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,37.3019,-121.8486,CA
BI Business/Data Analyst Lead with hands on SQL,$114K-$134K (Glassdoor est.),114000,134000,124000,3.2,"Yochana
3.2","Mountain View, CA","Farmington Hills, MI",201 to 500 employees,2009,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),-1,-1,37.4,-122.0796,CA
Data Analyst,$34K-$65K (Glassdoor est.),34000,65000,49500,5,"AlertMedia
5.0","Austin, TX","Austin, TX",51 to 200 employees,2013,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Everbridge,-1,30.3004,-97.7522,TX
Data Systems Analyst,$34K-$65K (Glassdoor est.),34000,65000,49500,4,"GrantWorks
4.0","Austin, TX","Austin, TX",51 to 200 employees,1979,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1,TRUE,30.3004,-97.7522,TX
Reconciliation Data Operations Analyst,$34K-$65K (Glassdoor est.),34000,65000,49500,3.6,"eBay
3.6","Austin, TX","San Jose, CA",10000+ employees,1995,Company - Public,Internet,Information Technology,$10+ billion (USD),"Amazon, Apple",-1,30.3004,-97.7522,TX
Healthcare Data Analyst - Remote,$34K-$65K (Glassdoor est.),34000,65000,49500,3.3,"Allscripts
3.3","Austin, TX","Chicago, IL",5001 to 10000 employees,1986,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),"Cerner, Epic, Athena Health Care Systems",-1,30.3004,-97.7522,TX
Data Analyst - People Analytics,$34K-$65K (Glassdoor est.),34000,65000,49500,4.7,"OnlineMedEd
4.7","Austin, TX","Austin, TX",51 to 200 employees,2014,Company - Private,Colleges & Universities,Education,Unknown / Non-Applicable,-1,-1,30.3004,-97.7522,TX
Data Analyst,$34K-$65K (Glassdoor est.),34000,65000,49500,3.7,"Indeed
3.7","Austin, TX","Austin, TX",10000+ employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),"Simply Hired, CareerBuilder, Glassdoor",-1,30.3004,-97.7522,TX
Junior Data Analyst,$34K-$65K (Glassdoor est.),34000,65000,49500,4.4,"Assembly
4.4","Austin, TX","Santa Monica, CA",1 to 50 employees,2017,Company - Private,Building & Personnel Services,Business Services,Unknown / Non-Applicable,-1,-1,30.3004,-97.7522,TX
Junior Data Analyst,$34K-$65K (Glassdoor est.),34000,65000,49500,2.7,"Assembly
2.7","Austin, TX","New York, NY",201 to 500 employees,2014,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,-1,30.3004,-97.7522,TX
"Data Analyst, Trust & Safety",$34K-$65K (Glassdoor est.),34000,65000,49500,4.1,"TaskRabbit
4.1","Austin, TX","San Francisco, CA",201 to 500 employees,2008,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,TRUE,30.3004,-97.7522,TX
Data Strategy Analyst,$34K-$65K (Glassdoor est.),34000,65000,49500,3.2,"GroupBy, Inc
3.2","Austin, TX","Toronto, Canada",51 to 200 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),Bloomreach,-1,30.3004,-97.7522,TX
Data Analyst,$34K-$65K (Glassdoor est.),34000,65000,49500,3.5,"NxStage
3.5","Austin, TX","Lawrence, MA",1001 to 5000 employees,1998,Company - Public,Health Care Products Manufacturing,Manufacturing,$500 million to $1 billion (USD),"Baxter, Gambro AB, Fresenius",-1,30.3004,-97.7522,TX
Data Analyst,$34K-$65K (Glassdoor est.),34000,65000,49500,3.8,"Enterprise Solutions Inc
3.8","Austin, TX","Naperville, IL",51 to 200 employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),-1,-1,30.3004,-97.7522,TX
Data Analyst,$34K-$65K (Glassdoor est.),34000,65000,49500,3.1,"Horne LLP
3.1","Austin, TX","Ridgeland, MS",501 to 1000 employees,1962,Company - Private,Accounting,Accounting & Legal,$50 to $100 million (USD),"Carr Riggs & Ingram, Cherry Bekaert, LBMC",-1,30.3004,-97.7522,TX
Technical Data Analyst,$39K-$69K (Glassdoor est.),39000,69000,54000,3.3,"Ascension Technologies
3.3","Austin, TX","Saint Louis, MO",10000+ employees,1999,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1,-1,30.3004,-97.7522,TX
Data Analyst,$39K-$69K (Glassdoor est.),39000,69000,54000,3.2,"Fresenius Medical Care
3.2","Austin, TX","Bad Homburg vor der Hohe, Germany",10000+ employees,-1,Company - Public,Health Care Products Manufacturing,Manufacturing,Unknown / Non-Applicable,-1,-1,30.3004,-97.7522,TX
Environmental Data Analyst - Disaster Recovery,$39K-$69K (Glassdoor est.),39000,69000,54000,3.5,"ICF
3.5","Austin, TX","Fairfax, VA",5001 to 10000 employees,1999,Company - Public,Consulting,Business Services,$1 to $2 billion (USD),"Booz Allen Hamilton, Abt Associates, Oliver Wyman",-1,30.3004,-97.7522,TX
Marketing Data Analyst,$39K-$69K (Glassdoor est.),39000,69000,54000,-1,Show Me Leads,"Austin, TX",-1,-1,-1,-1,-1,-1,-1,-1,-1,30.3004,-97.7522,TX
Ad Integrity Data Analyst-ATX,$39K-$69K (Glassdoor est.),39000,69000,54000,3.8,"ByteDance
3.8","Austin, TX","Beijing, China",10000+ employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,-1,30.3004,-97.7522,TX
Junior Inventory Control Data Analyst,$39K-$69K (Glassdoor est.),39000,69000,54000,4.1,"Four Hands
4.1","Austin, TX","Austin, TX",201 to 500 employees,1996,Company - Private,Home Furniture & Housewares Stores,Retail,$100 to $500 million (USD),-1,-1,30.3004,-97.7522,TX
Data Migration Analyst,$39K-$69K (Glassdoor est.),39000,69000,54000,3.1,"Q2eBanking
3.1","Austin, TX","Austin, TX",1001 to 5000 employees,2004,Company - Public,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),Intuit,-1,30.3004,-97.7522,TX
Microsoft Dynamics CRM Data Analyst,$39K-$69K (Glassdoor est.),39000,69000,54000,3.7,"IBM
3.7","Austin, TX","Armonk, NY",10000+ employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),"Amazon, Accenture, Microsoft",-1,30.3004,-97.7522,TX
Public Health Data Visualization Analyst,$39K-$69K (Glassdoor est.),39000,69000,54000,4,"Lantana Consulting Group
4.0","Austin, TX","East Thetford, VT",1 to 50 employees,-1,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1,-1,30.3004,-97.7522,TX
Data Warehouse Analyst,$64K-$110K (Glassdoor est.),64000,110000,87000,3.5,"UFCU
3.5","Austin, TX","Austin, TX",501 to 1000 employees,1936,Nonprofit Organization,Banks & Credit Unions,Finance,$50 to $100 million (USD),-1,-1,30.3004,-97.7522,TX
Clinical Data Management - Technical Analyst,$64K-$110K (Glassdoor est.),64000,110000,87000,3.3,"Ascension Technologies
3.3","Austin, TX","Saint Louis, MO",10000+ employees,1999,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1,-1,30.3004,-97.7522,TX
SQL Data and Integration Analyst,$64K-$110K (Glassdoor est.),64000,110000,87000,4,"Smartwebs, Inc.
4.0","Round Rock, TX","Round Rock, TX",1 to 50 employees,2008,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),-1,-1,30.5254,-97.666,TX
Clinical Data Management - Technical Analyst,$64K-$110K (Glassdoor est.),64000,110000,87000,3.7,"Allegan General Hospital
3.7","Austin, TX","Allegan, MI",201 to 500 employees,1938,Company - Private,-1,-1,$25 to $50 million (USD),-1,-1,30.3004,-97.7522,TX
Data Analyst,$64K-$110K (Glassdoor est.),64000,110000,87000,3,"CommUnityCare
3.0","Austin, TX","Austin, TX",1001 to 5000 employees,2009,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1,-1,30.3004,-97.7522,TX
Strategic Data Analyst III - Strategic Planning Divsion,$64K-$110K (Glassdoor est.),64000,110000,87000,3.9,"TxDOT
3.9","Austin, TX","Austin, TX",10000+ employees,1991,Government,State & Regional Agencies,Government,Unknown / Non-Applicable,-1,-1,30.3004,-97.7522,TX
Lead Data Analyst,$64K-$110K (Glassdoor est.),64000,110000,87000,3.9,"Lawnstarter
3.9","Austin, TX","Austin, TX",1 to 50 employees,-1,Company - Private,Internet,Information Technology,Less than $1 million (USD),-1,-1,30.3004,-97.7522,TX
Managed Care Data Analyst,$64K-$110K (Glassdoor est.),64000,110000,87000,2.6,"Sonic Healthcare USA
2.6","Austin, TX","Macquarie Park, Australia",10000+ employees,1987,Company - Public,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,-1,30.3004,-97.7522,TX
Research Director / Analyst -- Enterprise Data Strategy,$64K-$110K (Glassdoor est.),64000,110000,87000,3.5,"GasPedal
3.5","Austin, TX","Austin, TX",1 to 50 employees,2007,Company - Private,Membership Organizations,Business Services,$5 to $10 million (USD),-1,-1,30.3004,-97.7522,TX
Senior Strategy Data Analyst,$64K-$110K (Glassdoor est.),64000,110000,87000,3,"CommUnityCare
3.0","Austin, TX","Austin, TX",1001 to 5000 employees,2009,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1,-1,30.3004,-97.7522,TX
"Data Analyst, Lead",$64K-$110K (Glassdoor est.),64000,110000,87000,3.8,"Booz Allen Hamilton Inc.
3.8","Austin, TX","Mc Lean, VA",10000+ employees,1914,Company - Public,Consulting,Business Services,$5 to $10 billion (USD),"Accenture, Deloitte, PwC",-1,30.3004,-97.7522,TX
Data Analyst â Junior,$69K-$119K (Glassdoor est.),69000,119000,94000,5,"Staffigo Technical Services, LLC
5.0","Austin, TX","Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,30.3004,-97.7522,TX
The Home Depot PRO - Data Analyst,$31K-$56K (Glassdoor est.),31000,56000,43500,3.6,"Home Depot
3.6","Jacksonville, FL","Atlanta, GA",10000+ employees,1978,Company - Public,-1,-1,$10+ billion (USD),"Target, Walmart",-1,30.3322,-81.6749,FL
Data Analyst Student Part-time,$31K-$56K (Glassdoor est.),31000,56000,43500,3.6,"Crowley Maritime
3.6","Jacksonville, FL","Jacksonville, FL",5001 to 10000 employees,1892,Company - Private,Shipping,Transportation & Logistics,$1 to $2 billion (USD),-1,-1,30.3322,-81.6749,FL
Data Analyst BI Engineer,$31K-$56K (Glassdoor est.),31000,56000,43500,4.1,"Alluvion Staffing
4.1","Jacksonville, FL","Jacksonville, FL",1 to 50 employees,2000,Company - Private,Staffing & Outsourcing,Business Services,Less than $1 million (USD),-1,-1,30.3322,-81.6749,FL
Data Quality Analyst,$31K-$56K (Glassdoor est.),31000,56000,43500,3.9,"Intellitro
3.9","Jacksonville, FL","Las Vegas, NV",51 to 200 employees,2014,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),-1,-1,30.3322,-81.6749,FL
Provider Data Service Analyst,$31K-$56K (Glassdoor est.),31000,56000,43500,3.3,"Florida Blue
3.3","Jacksonville, FL","Jacksonville, FL",10000+ employees,1944,Nonprofit Organization,Insurance Carriers,Insurance,$10+ billion (USD),-1,-1,30.3322,-81.6749,FL
Data and Clinical Support Analyst - Remote Position,$31K-$56K (Glassdoor est.),31000,56000,43500,4.3,"Wellbox, Inc.
4.3","Jacksonville, FL","Jacksonville, FL",51 to 200 employees,2015,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1,30.3322,-81.6749,FL
Data Analyst,$31K-$56K (Glassdoor est.),31000,56000,43500,4.5,"Green Key Resources
4.5","Jacksonville, FL","New York, NY",201 to 500 employees,2004,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,"Beacon Hill Staffing Group, PageGroup, Solomon Page",-1,30.3322,-81.6749,FL
"Risk Analyst I (Data Analytics: PowerBI, Tableau)",$31K-$56K (Glassdoor est.),31000,56000,43500,3.6,"FIS
3.6","Jacksonville, FL","Jacksonville, FL",10000+ employees,1968,Company - Public,Financial Transaction Processing,Finance,$10+ billion (USD),"Fiserv, First Data, Jack Henry & Associates",-1,30.3322,-81.6749,FL
Process Improvement Analyst - Big Data Architecht,$31K-$56K (Glassdoor est.),31000,56000,43500,4.6,"Capital Staffing Solutions
4.6","Jacksonville, FL","Ponte Vedra Beach, FL",501 to 1000 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,30.3322,-81.6749,FL
Data Analyst,$31K-$56K (Glassdoor est.),31000,56000,43500,3.3,"Lutheran Services Florida
3.3","Jacksonville, FL","Tampa, FL",1001 to 5000 employees,1982,Nonprofit Organization,Religious Organizations,Non-Profit,$100 to $500 million (USD),-1,-1,30.3322,-81.6749,FL
"Analyst, CRM & Data Management",$31K-$56K (Glassdoor est.),31000,56000,43500,3.3,"Venus Fashion
3.3","Jacksonville, FL","Jacksonville, FL",501 to 1000 employees,1982,Company - Private,"Department, Clothing, & Shoe Stores",Retail,$100 to $500 million (USD),-1,-1,30.3322,-81.6749,FL
Sr. Data Analyst - Guidewire Data Hub,$31K-$56K (Glassdoor est.),31000,56000,43500,3.1,"Kemper
3.1","Jacksonville, FL","Chicago, IL",5001 to 10000 employees,1990,Company - Public,Insurance Carriers,Insurance,$2 to $5 billion (USD),-1,-1,30.3322,-81.6749,FL
"Assistant Vice President, Anti Financial Crime Data Quality Analyst – {KP4457495}",$31K-$56K (Glassdoor est.),31000,56000,43500,3.5,"Deutsche Bank
3.5","Jacksonville, FL","Frankfurt am Main, Germany",10000+ employees,1870,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1,-1,30.3322,-81.6749,FL
"Data Analyst in Jacksonville, FL at SNI Technology",$31K-$56K (Glassdoor est.),31000,56000,43500,3.5,"SNI Technology
3.5","Jacksonville, FL","Des Moines, IA",201 to 500 employees,1998,Company - Public,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,30.3322,-81.6749,FL
Data Analyst â Junior,$31K-$56K (Glassdoor est.),31000,56000,43500,5,"Staffigo Technical Services, LLC
5.0","Jacksonville, FL","Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,30.3322,-81.6749,FL
Human Performance Data Analyst,$49K-$89K (Glassdoor est.),49000,89000,69000,4,"Reef Systems
4.0","Fort Worth, TX","Cary, NC",1 to 50 employees,-1,Company - Public,-1,-1,$1 to $5 million (USD),-1,-1,32.7811,-97.3473,TX
Data Reporting Analyst,$49K-$89K (Glassdoor est.),49000,89000,69000,3.4,"Vantage Bank Texas
3.4","Fort Worth, TX","San Antonio, TX",201 to 500 employees,1985,Company - Private,Banks & Credit Unions,Finance,$1 to $2 billion (USD),-1,-1,32.7811,-97.3473,TX
"Data Analyst, Military Forecasting",$49K-$89K (Glassdoor est.),49000,89000,69000,3.8,"Bell Helicopter
3.8","Fort Worth, TX","Fort Worth, TX",5001 to 10000 employees,1935,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),-1,-1,32.7811,-97.3473,TX
Sr Data Analyst,$49K-$89K (Glassdoor est.),49000,89000,69000,3,"GM Financial
3.0","Fort Worth, TX","Fort Worth, TX",5001 to 10000 employees,1992,Company - Public,Lending,Finance,$5 to $10 billion (USD),-1,-1,32.7811,-97.3473,TX
"Data Analyst, Military Forecasting",$49K-$89K (Glassdoor est.),49000,89000,69000,-1,Cessna,"Fort Worth, TX","Arvada, CO",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,32.7811,-97.3473,TX
BI Data Analyst/Specialist,$49K-$89K (Glassdoor est.),49000,89000,69000,3.9,"Fidelity TalentSource
3.9","Westlake, TX","Boston, MA",1001 to 5000 employees,1986,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,32.981,-97.2038,TX
Data Analyst,$28K-$52K (Glassdoor est.),28000,52000,40000,3.5,"Olive
3.5","Columbus, OH","Columbus, OH",201 to 500 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,-1,39.9862,-82.985,OH
Data Analyst,$28K-$52K (Glassdoor est.),28000,52000,40000,3.6,"ROSEN USA
3.6","Columbus, OH","Stans, Switzerland",201 to 500 employees,-1,Company - Private,Oil & Gas Services,"Oil, Gas, Energy & Utilities",$100 to $500 million (USD),GE,-1,39.9862,-82.985,OH
Junior Data Analyst,$28K-$52K (Glassdoor est.),28000,52000,40000,5,"Staffigo Technical Services, LLC
5.0","Columbus, OH","Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,39.9862,-82.985,OH
Business Data Analyst,$28K-$52K (Glassdoor est.),28000,52000,40000,3.9,"DHL
3.9","Westerville, OH","Bonn, Germany",10000+ employees,1969,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,-1,-1,40.1241,-82.9209,OH
Data Transformation Analyst,$28K-$52K (Glassdoor est.),28000,52000,40000,5,"Centric Consulting
5.0","Columbus, OH","Dayton, OH",501 to 1000 employees,1999,Company - Private,Consulting,Business Services,$100 to $500 million (USD),"Accenture, West Monroe, Slalom",-1,39.9862,-82.985,OH
Research Analyst / Data Analyst,$28K-$52K (Glassdoor est.),28000,52000,40000,4.6,"ProKatchers LLC
4.6","Columbus, OH","Suwanee, GA",51 to 200 employees,-1,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,-1,39.9862,-82.985,OH
Data Analyst,$28K-$52K (Glassdoor est.),28000,52000,40000,5,"Staffigo Technical Services, LLC
5.0","Columbus, OH","Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,39.9862,-82.985,OH
Microsoft Dynamics CRM Data Analyst,$28K-$52K (Glassdoor est.),28000,52000,40000,3.7,"IBM
3.7","Columbus, OH","Armonk, NY",10000+ employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),"Amazon, Accenture, Microsoft",-1,39.9862,-82.985,OH
Sr Data Business Analyst - FacilitySource,$46K-$86K (Glassdoor est.),46000,86000,66000,3.6,"FacilitySource
3.6","Columbus, OH","Phoenix, AZ",1001 to 5000 employees,2001,Company - Public,Building & Personnel Services,Business Services,$100 to $500 million (USD),"First Service Networks, SMS Assist, Vixxo",-1,39.9862,-82.985,OH
Data Analyst â Junior,$46K-$86K (Glassdoor est.),46000,86000,66000,5,"Staffigo Technical Services, LLC
5.0","Columbus, OH","Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,39.9862,-82.985,OH
Data Management Consultant 2-Relationship Management Analyst,$54K-$75K (Glassdoor est.),54000,75000,64500,3.6,"Wells Fargo
3.6","Charlotte, NC","San Francisco, CA",10000+ employees,1852,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),-1,-1,35.208,-80.8304,NC
Data Analyst,$54K-$75K (Glassdoor est.),54000,75000,64500,4.1,"Sysmind LLC
4.1","Charlotte, NC","Princeton Junction, NJ",51 to 200 employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),-1,-1,35.208,-80.8304,NC
Reporting/Data Analyst,$54K-$75K (Glassdoor est.),54000,75000,64500,3.8,"Prutech Solutions
3.8","Charlotte, NC","Iselin, NJ",201 to 500 employees,1998,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,-1,35.208,-80.8304,NC
Data Science Analyst,$54K-$75K (Glassdoor est.),54000,75000,64500,3.6,"Signature Consultants
3.6","Charlotte, NC","Fort Lauderdale, FL",1001 to 5000 employees,1997,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"ComforceHealth, TEKsystems, Allegis Group",TRUE,35.208,-80.8304,NC
Data Analyst I (Strong Salesforce.com),$54K-$75K (Glassdoor est.),54000,75000,64500,3.4,"pureIntegration
3.4","Charlotte, NC","Herndon, VA",51 to 200 employees,2004,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),-1,-1,35.208,-80.8304,NC
Data Engineer/Analyst,$54K-$75K (Glassdoor est.),54000,75000,64500,3.3,"Vaco Technology
3.3","Charlotte, NC","Brentwood, TN",501 to 1000 employees,2002,Company - Private,Consulting,Business Services,$500 million to $1 billion (USD),-1,-1,35.208,-80.8304,NC
Data Analyst,$54K-$75K (Glassdoor est.),54000,75000,64500,3.6,"Randstad US
3.6","Charlotte, NC","Atlanta, GA",1001 to 5000 employees,-1,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,35.208,-80.8304,NC
Data Analyst/Business Analyst,$54K-$75K (Glassdoor est.),54000,75000,64500,3.6,"Signature Consultants
3.6","Charlotte, NC","Fort Lauderdale, FL",1001 to 5000 employees,1997,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"ComforceHealth, TEKsystems, Allegis Group",TRUE,35.208,-80.8304,NC
Jr. Data Analyst - Salesforce,$54K-$75K (Glassdoor est.),54000,75000,64500,4,"Biesse Group
4.0","Charlotte, NC","Pesaro, Italy",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,35.208,-80.8304,NC
informatica data analyst,$54K-$75K (Glassdoor est.),54000,75000,64500,4.1,"Collabera
4.1","Charlotte, NC","Basking Ridge, NJ",10000+ employees,1991,Company - Private,IT Services,Information Technology,$500 million to $1 billion (USD),"Kforce, Insight Global, Volt Consulting Group",-1,35.208,-80.8304,NC
Data Integration Analyst - SQL and Claims Processing experience,$37K-$66K (Glassdoor est.),37000,66000,51500,-1,Red Bridge Consulting Group,"Charlotte, NC","Charlotte, NC",1 to 50 employees,-1,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,-1,35.208,-80.8304,NC
BluePrint Data Analyst,$37K-$66K (Glassdoor est.),37000,66000,51500,3.8,"Apex Systems
3.8","Charlotte, NC","Glen Allen, VA",1001 to 5000 employees,1995,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),"TEKsystems, Insight Global, Accenture",TRUE,35.208,-80.8304,NC
Data Integration Analyst,$37K-$66K (Glassdoor est.),37000,66000,51500,2.8,"Cardinal Innovations Healthcare Solutions
2.8","Charlotte, NC","Charlotte, NC",501 to 1000 employees,-1,Company - Public,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),-1,-1,35.208,-80.8304,NC
Data Analyst,$37K-$66K (Glassdoor est.),37000,66000,51500,4.1,"Kforce
4.1","Charlotte, NC","Tampa, FL",10000+ employees,1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),-1,-1,35.208,-80.8304,NC
Microsoft Dynamics CRM Data Analyst,$37K-$66K (Glassdoor est.),37000,66000,51500,3.7,"IBM
3.7","Charlotte, NC","Armonk, NY",10000+ employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),"Amazon, Accenture, Microsoft",-1,35.208,-80.8304,NC
Senior Data Analyst,$37K-$66K (Glassdoor est.),37000,66000,51500,3.4,"NTT DATA Corporation
3.4","Charlotte, NC","Tokyo, Japan",10000+ employees,1967,Company - Public,IT Services,Information Technology,$10+ billion (USD),"Capgemini, Accenture, Deloitte",-1,35.208,-80.8304,NC
Data Transformation Analyst,$37K-$66K (Glassdoor est.),37000,66000,51500,5,"Centric Consulting
5.0","Charlotte, NC","Dayton, OH",501 to 1000 employees,1999,Company - Private,Consulting,Business Services,$100 to $500 million (USD),"Accenture, West Monroe, Slalom",-1,35.208,-80.8304,NC
